model_id,sysml_path,txt_path,split,quality,category,likert_score,similarity_percent,structure_score,behavior_score,data_score,token_recall_percent,parse_status,matched_terms,missing_terms
36,data/000036/000036.sysml,data/000036/000036.txt,official,A+,automotive,4,66.4,53,100,44.4,62.2,ok,Subcomponents | subcomponents,minMass: > ISQ mass
37,data/000037/000037.sysml,data/000037/000037.txt,official,A+,automotive,5,84.9,82.3,94,74.3,85.3,ok,transmission | engine | car | Vehicle Masses | Car Parts | carParts,redefines
38,data/000038/000038.sysml,data/000038/000038.txt,official,A+,automotive,4,77.1,70.4,,94,75.2,ok,Transmission | engine | drivePwrPort: DrivePwrPort,Issue Metadata Example
39,data/000039/000039.sysml,data/000039/000039.txt,official,A+,automotive,2,28.8,27.3,,,33.3,ok,,Rationale Metadata Example
40,data/000040/000040.sysml,data/000040/000040.txt,official,A+,automotive,2,28.8,27.3,,,33.3,ok,,Requirement Metadata Example
41,data/000041/000041.sysml,data/000041/000041.txt,official,A+,automotive,1,16.4,15.6,,,19,ok,,Risk Metadata Example | Engine4cyl
42,data/000042/000042.sysml,data/000042/000042.txt,official,A+,automotive,2,28.8,27.3,,,33.3,ok,,Verification Metadata Example
43,data/000043/000043.sysml,data/000043/000043.txt,official,A+,aerospace,2,24.7,23.4,,,28.6,ok,,Packet3
44,data/000044/000044.sysml,data/000044/000044.txt,official,A+,aerospace,5,85.7,94.4,,56.7,94.8,ok,Thermal Data Packet | Data Packet | Packets | temperature: Real,timestamp: DateTime
45,data/000045/000045.sysml,data/000045/000045.txt,official,A+,automotive,1,0,0,,,0,ok,,HSUVRequirements
46,data/000046/000046.sysml,data/000046/000046.txt,official,A+,unknown,1,0,0,,0,0,ok,,Requirement Derivation Example | Sub1 | Sub2 | satisfactionContext | sub1: Subsystem1 | sub2: Subsystem2
47,data/000047/000047.sysml,data/000047/000047.txt,official,A+,automotive,4,83.8,86.1,100,41,89.9,ok,Vehicle | Chassis | Engine | Chassis | Engine,
48,data/000048/000048.sysml,data/000048/000048.txt,official,A+,unknown,2,38.4,57.4,0,39.2,53.2,ok,Classroom | Hallway | Room Model | c: Classroom | h: Hallway,EntryWay_to_Classroom | classEntry: EntryWay_to_Classroom | Storageroom | EntryWay_to_Storageroom | storageEntry | classEntry
49,data/000049/000049.sysml,data/000049/000049.txt,official,A+,unknown,2,39.2,0,63.5,100,29.8,ok,Send | Sig | true | true,Test | External | When | Decision1
50,data/000050/000050.sysml,data/000050/000050.txt,official,A+,unknown,2,24.1,16.4,,41,24.6,ok,,P1 | P2
51,data/000051/000051.sysml,data/000051/000051.txt,official,A+,unknown,4,81.5,69.2,100,,77.6,ok,Physical | Assembly | Logical | Physical | Assembly,Allocation Test
52,data/000052/000052.sysml,data/000052/000052.txt,official,A+,unknown,5,98.1,97.6,,,100,ok,Vv | analysisContext | Analysis Test,
53,data/000053/000053.sysml,data/000053/000053.txt,official,A+,software,3,60.3,68,,56.7,46.9,ok,Counter | Increment | Incr | Decr | c: Counter,count: ScalarValues Integer : | Assignment Test
54,data/000054/000054.sysml,data/000054/000054.txt,official,A+,automotive,4,71,66.3,100,72.3,44.7,ok,Trans | Eng | vehicle | trans | eng | VehiclePart,Calculation Example
55,data/000055/000055.sysml,data/000055/000055.txt,official,A+,unknown,1,0,0,,,0,ok,,Comment Test
56,data/000056/000056.sysml,data/000056/000056.txt,official,A+,unknown,1,0,0,,0,0,ok,,Conjugation Test | B1 | p1: P
57,data/000057/000057.sysml,data/000057/000057.txt,official,A+,unknown,5,100,100,,,100,ok,Test,
58,data/000058/000058.sysml,data/000058/000058.txt,official,A+,automotive,4,71.7,49,100,93.7,59,ok,Front Axle Assembly | Rear Axle Assembly | Engine | Component | vehicle | frontAxleAssembly,Constraint Test | vehicle1a | vehicle1b | vehicle2a | vehicle2b | vehicle3
59,data/000059/000059.sysml,data/000059/000059.txt,official,A+,unknown,1,0,0,0,,0,ok,,Sys ML2 Model | Control Node Test | A2 | B1 | B2 | A2
60,data/000060/000060.sysml,data/000060/000060.txt,official,A+,unknown,3,52.5,42.9,64.9,42.3,58.9,ok,Decision Test | A1 | A2 | A3 | x == 0 | x == 0,Sys ML2 Model | Decision1 | true | true
61,data/000061/000061.sysml,data/000061/000061.txt,official,A+,unknown,1,15.1,23.4,0,,21.2,ok,,V1 | V1
62,data/000062/000062.sysml,data/000062/000062.txt,official,A+,software,1,0,0,,,0,ok,,Dependency Test
63,data/000063/000063.sysml,data/000063/000063.txt,official,A+,unknown,2,38.7,44.5,46.1,0,46.6,ok,Color | Size | Size,Enumeration Test | E1 | E1 | val: ScalarValues Natural
64,data/000064/000064.sysml,data/000064/000064.txt,official,A+,unknown,1,0,0,,,0,ok,,e1
65,data/000065/000065.sysml,data/000065/000065.txt,official,A+,unknown,1,0,0,,,0,ok,,Import Test | P11
66,data/000066/000066.sysml,data/000066/000066.txt,official,A+,unknown,4,69.1,100,,0,68.6,ok,Test,a1: A | a2: A
67,data/000067/000067.sysml,data/000067/000067.txt,official,A+,software,2,42.9,42.9,,,42.9,ok,Classification Level,Test
68,data/000068/000068.sysml,data/000068/000068.txt,official,A+,unknown,1,0,0,,0,0,ok,,Multiplicity Test | i: ScalarValues Integer
69,data/000069/000069.sysml,data/000069/000069.txt,official,A+,unknown,2,43.2,41,,,50,ok,,
70,data/000070/000070.sysml,data/000070/000070.txt,official,A+,unknown,1,0,0,,0,0,ok,,Parameter Test | x: ScalarValues String | q: ScalarValues Integer
71,data/000071/000071.sysml,data/000071/000071.txt,official,A+,unknown,2,29.8,66.7,0,0,29.3,ok,Test,Aa | External | c1 | c2 | p: Port | c1: C
72,data/000072/000072.sysml,data/000072/000072.txt,official,A+,unknown,5,95.4,94,,,100,ok,Requirement Test,
73,data/000073/000073.sysml,data/000073/000073.txt,official,A+,unknown,1,0,0,,,0,ok,,P1
74,data/000074/000074.sysml,data/000074/000074.txt,official,A+,unknown,2,32.6,42.9,,,0,ok,Sig,Test
75,data/000075/000075.sysml,data/000075/000075.txt,official,A+,software,3,57.5,54.7,,,66.7,ok,,
76,data/000076/000076.sysml,data/000076/000076.txt,official,A+,unknown,1,16.5,0,0,86,14.4,ok,newX Real,Textual Representation Test | Set X
77,data/000077/000077.sysml,data/000077/000077.txt,official,A+,automotive,1,23,21.9,,,26.7,ok,,Engine1 | Engine2
78,data/000078/000078.sysml,data/000078/000078.txt,official,A+,software,3,59.3,58.5,,,61.9,ok,User,Use Case Test
79,data/000079/000079.sysml,data/000079/000079.txt,official,A+,unknown,5,95.4,94,,,100,ok,Variability Test,
80,data/000080/000080.sysml,data/000080/000080.txt,official,A+,unknown,4,66.3,65.3,,,69.5,ok,Verification Test | verificationContext,Vv
81,data/000081/000081.sysml,data/000081/000081.txt,official,A+,unknown,1,0,0,,,0,ok,,View Test
82,data/000082/000082.sysml,data/000082/000082.txt,official,A+,automotive,3,56,51.7,71,37.6,57,ok,Pusher | Cart | pusher | cart,CartStateDerivative | accel: > ISQ acceleration | velocity: > ISQ speed | stateSpace: CartState | context
83,data/000083/000083.sysml,data/000083/000083.txt,official,A+,automotive,3,64.6,67.3,76.9,37.9,64.2,ok,Battery | Motor | Tire | Vehicle | battery | motor,baseVoltage: > ISQ electricPotential | accel: > ISQ acceleration | motR: > ISQ resistance | motL: > ISQ inductance | EVSample | socInit: ScalarValues Real
84,data/000084/000084.sysml,data/000084/000084.txt,official,A+,automotive,1,23.5,21.9,,24,26.4,ok,,pwrLevel: ScalarValues Integer | elapseTime: > ISQ duration | Pwr Cmd | Transport2
85,data/000085/000085.sysml,data/000085/000085.txt,official,A+,automotive,4,70.9,68.4,74.2,65.7,74.3,ok,Transmission | Sunroof | Engine | Cylinder | vehicle | Diameter,autoPort1: Port | autoPort2: Port | vehicle4Cyl
86,data/000086/000086.sysml,data/000086/000086.txt,official,A+,automotive,2,43.9,54,44.1,17.1,46.2,ok,VehicleController | SpeedSensor | Transmission | Vehicle | Engine | Wheel,ignitionCmdPort | rightHalfAxle | drivePwrPort | leftHalfAxle | fuelCmdPort | fuelOutPort
87,data/000087/000087.sysml,data/000087/000087.txt,official,A+,automotive,4,80.8,79.7,98,52.3,81.2,ok,Vehicle | Lugbolt | Wheel | Axle | Wheel | Lugbolt,transferredTorque: > ISQ torque | appliedTorque: > ISQ torque | driveTorque: > ISQ torque | DriveIF | mass: > ISQ mass
88,data/000088/000088.sysml,data/000088/000088.txt,official,A+,automotive,5,86.4,84.5,87.2,,88.7,ok,Vehicle1 | Vehicle2 | Vehicle2 | Vehicle1 | Vehicle Individuals,
89,data/000089/000089.sysml,data/000089/000089.txt,official,A+,automotive,3,61.3,55.3,,75.2,61.1,ok,narrowRimWheel | wideRimWheel | frontWheel | rearWheel | rearAxleAssembly | frontAxleAssembly: AxleAssembly,Lugbolt | hierarchy | redefines | lugbolt: Lugbolt
90,data/000090/000090.sysml,data/000090/000090.txt,official,A+,automotive,5,94.6,90.9,100,92,95.4,ok,Lug Bolt Joints | Mounting Holes | Weight | Wheel | Bead | Rim,Wheel Package Updated
91,data/000091/000091.sysml,data/000091/000091.txt,official,A+,automotive,5,92.6,87.9,100,88.9,93.5,ok,Lug Bolt Joints | Wheel | Hub | WirelessTirePressureMonitor | WheelHubAssembly | WheelAssembly,
92,data/000092/000092.sysml,data/000092/000092.txt,official,A+,automotive,3,51.9,52.7,60.8,55.5,38.6,ok,Eng | Cyl | vehicle model 1 | vehicle model 2 | vehicle | Eng,Vehicle Decomposition Updated | Rb | Lb | redefines | chs | Lb
93,data/000093/000093.sysml,data/000093/000093.txt,official,A+,automotive,4,74,70.8,100,55.5,61.5,ok,Eng | Chassis Assembly | Vehicle Model 1 | Vehicle Model 2 | Vehicle | Engine,redefines | chs
94,data/000094/000094.sysml,data/000094/000094.txt,official,A+,automotive,3,56.8,68.2,100,0,28.7,ok,Weight | Accel | Dist | Time | Vel | Weight,HSUVDynamics | Horsepwr | base: Real
95,data/000095/000095.sysml,data/000095/000095.txt,official,A+,automotive,1,0,0,,,0,ok,,Comment Example
96,data/000096/000096.sysml,data/000096/000096.txt,official,A+,automotive,2,42.9,42.9,,,42.9,ok,Automobile,Documentation Example
97,data/000097/000097.sysml,data/000097/000097.txt,official,A+,automotive,1,0,0,,,0,ok,,Package Example
98,data/000098/000098.sysml,data/000098/000098.txt,official,A+,automotive,4,67.3,66.3,,78.8,58.3,ok,Driver | Eng | Vehicle | driver: Person | acceleratorPosition: Real | gearSetting: Integer,Definition Example
99,data/000099/000099.sysml,data/000099/000099.txt,official,A+,automotive,4,71.2,72,,67.5,73.1,ok,Driver | HumanDrivenVehicle | PoweredVehicle | driver: Person | driver: Person,Generalization Example
100,data/000100/000100.sysml,data/000100/000100.txt,official,A+,automotive,4,73.5,73.8,100,65.5,48.9,ok,Wheels | Parts | Trans | Eng | Vehicle | Trans,Subsetting Example
101,data/000101/000101.sysml,data/000101/000101.txt,official,A+,automotive,3,65.7,78.6,60.7,47.8,64,ok,Eng | SmallVehicle | BigVehicle | Vehicle | Engine | eng,Redefinition Example
102,data/000102/000102.sysml,data/000102/000102.txt,official,A+,automotive,4,81.6,66.5,97.9,94,77.4,ok,Traffic Light | Traffic Light | Traffic Light Color | Traffic Light Go | Traffic Light Go | currentColor: TrafficLightColor,Enumeration Definitions 1
103,data/000103/000103.sysml,data/000103/000103.txt,official,A+,software,3,64.6,62.6,62,67.5,68.6,ok,Grade Points | Grade Points | Classification Level | color: TrafficLightColor,Enumeration Definitions 2
104,data/000104/000104.sysml,data/000104/000104.txt,official,A+,automotive,4,67.3,65.3,100,41,50.5,ok,Eng | smallVehicle | bigVehicle | Vehicle | Engine | eng,Parts Example 1 | redefines
105,data/000105/000105.sysml,data/000105/000105.txt,official,A+,automotive,3,56.6,67.8,,41,47,ok,Eng | Cyl | smallVehicle | bigVehicle | vehicle,Parts Example 2 | redefines
106,data/000106/000106.sysml,data/000106/000106.txt,official,A+,automotive,4,66.9,60,,86,63.4,ok,Fuel Tank | Vehicle | mass: Real,Items Example
107,data/000107/000107.sysml,data/000107/000107.txt,official,A+,automotive,5,86.2,83,90.9,80.1,89.4,ok,Mounting Holes | Wheel | Bead | Rim | Hub | wheelHubAssembly,
108,data/000108/000108.sysml,data/000108/000108.txt,official,A+,automotive,4,73.8,68.5,94,67.5,63,ok,Engine | FuelTank | Temp | FuelPort | fuelTankPort | fuelTankPort: FuelPort,Conjugation Example
109,data/000109/000109.sysml,data/000109/000109.txt,official,A+,automotive,3,53.8,57.8,54.7,45.6,52.3,ok,Engine | FuelTankAssembly | Temp,FuelOutPort | Example
110,data/000110/000110.sysml,data/000110/000110.txt,official,A+,industrial,2,28.8,27.3,,,33.3,ok,,Interface Decomposition Example
111,data/000111/000111.sysml,data/000111/000111.txt,official,A+,automotive,3,58.4,63.8,,51.2,53.5,ok,Eng | vehicle,
112,data/000112/000112.sysml,data/000112/000112.txt,official,A+,automotive,5,84.7,77.1,100,77.3,83.2,ok,Tank | Pump | vehicle | Pump | Tank | tank: FuelTankAssembly,Binding Connectors Example 1
113,data/000113/000113.sysml,data/000113/000113.txt,official,A+,automotive,5,84.7,77.1,100,77.3,83.2,ok,Tank | Pump | vehicle | Pump | Tank | tank: FuelTankAssembly,Binding Connectors Example 2
114,data/000114/000114.sysml,data/000114/000114.txt,official,A+,automotive,3,50.8,54.1,,51.2,42.9,ok,Eng | vehicle,Flow Definition Example
115,data/000115/000115.sysml,data/000115/000115.txt,official,A+,automotive,3,55.8,60.5,,51.2,50,ok,Eng | vehicle,Flow Interface Example
116,data/000116/000116.sysml,data/000116/000116.txt,official,A+,automotive,3,55.8,60.5,,51.2,50,ok,Eng | vehicle,Flow Usage Example
117,data/000117/000117.sysml,data/000117/000117.txt,official,A+,electronics,4,82.3,67.8,100,86,81,ok,Focus | Shoot | Focus | Shoot | Take Picture | picture Picture,Definition Example
118,data/000118/000118.sysml,data/000118/000118.txt,official,A+,electronics,4,76.4,55.6,100,86,73.9,ok,Focus | Shoot | Focus | Shoot | picture Picture | scene Scene,Shorthand Example
119,data/000119/000119.sysml,data/000119/000119.txt,official,A+,electronics,4,79.9,64,100,86,76.3,ok,Focus | Shoot | Shoot | picture Picture | image Image,Succession Example 1
120,data/000120/000120.sysml,data/000120/000120.txt,official,A+,electronics,4,76.4,55.6,100,86,73.9,ok,Focus | Shoot | Focus | Shoot | picture Picture | scene Scene,Definition Example
121,data/000121/000121.sysml,data/000121/000121.txt,official,A+,electronics,4,76.4,55.6,100,86,73.9,ok,Focus | Shoot | Focus | Shoot | picture Picture | scene Scene,Decomposition
122,data/000122/000122.sysml,data/000122/000122.txt,official,A+,electronics,4,78.8,56.6,98.8,87.9,82.7,ok,Image | Focus | Shoot | focus.image.isWellFocused | focus.image.isWellFocused | picture Picture,Conditional Succession Example 1
123,data/000123/000123.sysml,data/000123/000123.txt,official,A+,electronics,4,72.7,42.9,98.8,87.9,76.9,ok,Image | Focus | Shoot | focus.image.isWellFocused | focus.image.isWellFocused | picture Picture,Conditional Succession Example 2
124,data/000124/000124.sysml,data/000124/000124.txt,official,A+,electronics,3,56.6,52.1,,67.5,55.8,ok,Camera | imager | focusedImage: Image,Photos | autoFocus
125,data/000125/000125.sysml,data/000125/000125.txt,official,A+,energy,3,53.6,40.5,47,100,50.2,ok,Charging | charge | Battery Charged,Control Structures Example | Done
126,data/000126/000126.sysml,data/000126/000126.txt,official,A+,energy,4,72.8,72.8,61,91.3,74.1,ok,Monitor | Battery Charged | End Charging | End Charging | monitor.batteryCharge >= 100 | End Charging | Monitor Battery,Done | Decision1
127,data/000127/000127.sysml,data/000127/000127.txt,official,A+,automotive,2,43.9,30,44,73.5,44.8,ok,Brake Pressure | Braking | modulationFrequency | brakePressure | Monitor Brake Pedal | Monitor Traction,Fork Join Example | Turn Key To On | Turn On | Fork | Done | Join Node
128,data/000128/000128.sysml,data/000128/000128.txt,official,A+,electronics,3,58.7,17.6,87.9,86,67.8,ok,Trigger | Display | Focus | Shoot | picture Picture | scene Scene,Merge Example | Continue
129,data/000129/000129.sysml,data/000129/000129.txt,official,A+,electronics,4,69.1,59.8,,90,68.8,ok,camera | f: AutoFocus | f: AutoFocus | i: Imager | i: Imager,Performance Example
130,data/000130/000130.sysml,data/000130/000130.txt,official,A+,software,3,47,45.1,45.5,,52.5,ok,Stop,Wait For Time Out | Fork
131,data/000131/000131.sysml,data/000131/000131.txt,official,A+,software,3,58.6,58.2,41,86,61.4,ok,Processor | Workflow Process | processor Processor,Terminate Actions Example 2
132,data/000132/000132.sysml,data/000132/000132.txt,official,A+,automotive,1,22.7,15.8,27.3,27.3,24.5,ok,,Straight Line Dynamics | Straight Line Dynamics | delta_t ISQ TimeValue | v_out ISQ SpeedValue | For Loop Example | Dynamics
133,data/000133/000133.sysml,data/000133/000133.txt,official,A+,electronics,2,42.2,10.3,58,86,42.7,ok,Focus | Shoot | Scene | picture Picture | scene Scene | image Image,Messaging Example | Show | Trigger | Send | External
134,data/000134/000134.sysml,data/000134/000134.txt,official,A+,electronics,3,55.5,52.6,58,66.1,50.3,ok,Camera | screen | Focus | Send | Scene | scene,Messaging Example | Trigger | Shoot | External | Show | viewPort: Port
135,data/000135/000135.sysml,data/000135/000135.txt,official,A+,software,3,63,42.9,94,59.1,59.6,ok,Sensor | Update Sensors | sensors Sensor,ready: ScalarValues Boolean | Opaque Action Example
136,data/000136/000136.sysml,data/000136/000136.txt,official,A+,automotive,4,77.3,65.1,94,,76.1,ok,Vehicle Start Signal | Vehicle Off Signal | Vehicle On Signal | Vehicle On Signal | Vehicle Off Signal,Definition Example 1
137,data/000137/000137.sysml,data/000137/000137.txt,official,A+,automotive,4,77.3,65.1,94,,76.1,ok,Vehicle Start Signal | Vehicle Off Signal | Vehicle On Signal | Vehicle On Signal | Vehicle Off Signal,Definition Example 2
138,data/000138/000138.sysml,data/000138/000138.txt,official,A+,automotive,5,93.4,91.5,94,86,100,ok,Vehicle Start Signal | Vehicle Off Signal | Vehicle On Signal | Perform Self Test | Actions | vehicle Vehicle,
139,data/000139/000139.sysml,data/000139/000139.txt,official,A+,automotive,4,77.3,65.1,94,,76.1,ok,Vehicle Start Signal | Vehicle Off Signal | Vehicle On Signal | Vehicle On Signal | Vehicle Off Signal,Decomposition 1
140,data/000140/000140.sysml,data/000140/000140.txt,official,A+,automotive,4,77.3,65.1,94,,76.1,ok,Vehicle Start Signal | Vehicle Off Signal | Vehicle On Signal | Vehicle On Signal | Vehicle Off Signal,Decomposition 1
141,data/000141/000141.sysml,data/000141/000141.txt,official,A+,automotive,3,58,70.9,41,56.9,58.9,ok,Over Temp | Vehicle | maintenanceInterval: DurationValue,Change And Time Triggers
142,data/000142/000142.sysml,data/000142/000142.txt,official,A+,software,2,43.9,58.5,,0,54.7,ok,Server,Local Clock Example | today: String
143,data/000143/000143.sysml,data/000143/000143.txt,official,A+,automotive,4,83.5,75.2,94,86,82.2,ok,Vehicle | Controller Start Signal | Vehicle Start Signal | Vehicle Off Signal | Vehicle On Signal | Perform Self Test,Actions
144,data/000144/000144.sysml,data/000144/000144.txt,official,A+,automotive,3,64.1,57.5,,78.3,64.6,ok,vehicle | controller | Vehicle Controller | vehicleController: VehicleController,Exhibition Example
145,data/000145/000145.sysml,data/000145/000145.txt,official,A+,automotive,5,87.1,78.6,100,88.7,84.1,ok,Cruise Controller | Speedometer | Engine | vehicle | driver | Speedometer,Event Occurrence Example
146,data/000146/000146.sysml,data/000146/000146.txt,official,A+,automotive,1,0,0,,,0,ok,,Interaction Example 1
147,data/000147/000147.sysml,data/000147/000147.txt,official,A+,automotive,5,87.1,78.6,100,88.7,84.1,ok,Cruise Controller | Speedometer | Engine | vehicle | driver | Speedometer,Interaction Example 2
148,data/000148/000148.sysml,data/000148/000148.txt,official,A+,automotive,4,76.6,68.9,78.6,88.7,77.8,ok,Cruise Controller A | Speedometer A | vehicle_a | driver_a | Sensed Speed | Set Speed,Interaction Realization 1 | External
149,data/000149/000149.sysml,data/000149/000149.txt,official,A+,automotive,4,78.8,71,86,77.1,82.9,ok,driver_b | Cruise Controller B | cruiseController_b: CruiseController | sensedSpeed: SensedSpeed | fuelCommand: FuelCommand | setSpeed: SetSpeed,Interaction Realization 2
150,data/000150/000150.sysml,data/000150/000150.txt,official,A+,automotive,3,51.9,46.1,,67.5,49.7,ok,Engine Controller | FuelCommand | engineController: EngineController,Message Payload Example | vehicle1
151,data/000151/000151.sysml,data/000151/000151.txt,official,A+,automotive,4,68.8,60,,94,63.4,ok,Vehicle | Date | deliveryDate: Date,Time Slice And Snapshot Example
