sysml_path,readiness_percent,readiness_band,l1_structural_score,l2_behavioral_score,l3_property_score,observability_score,repair_score,sequence_validity,ready_signals,improvement_cues,parse_status
data/000013/000013.sysml,45.7,Mostly Structural,45.4,57.5,39.8,48.5,26.9,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000014/000014.sysml,60.0,Behavior-Partially Ready,52.5,67.5,55.4,70.0,56.2,100.0%,Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000015/000015.sysml,10.8,Not Ready,33.0,0.0,0.0,10.0,10.7,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000016/000016.sysml,10.6,Not Ready,36.9,0.0,0.0,2.5,10.1,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000017/000017.sysml,61.8,Behavior-Partially Ready,62.6,66.3,54.2,82.5,36.3,100.0%,Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000018/000018.sysml,10.3,Not Ready,32.2,0.0,0.0,2.5,18.5,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000019/000019.sysml,14.2,Not Ready,46.2,0.0,0.0,0.0,26.6,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000020/000020.sysml,11.6,Not Ready,36.3,0.0,0.0,2.5,21.0,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000021/000021.sysml,81.2,Simulation-Ready,61.9,96.3,90.3,85.0,63.1,100.0%,Layer 2 executable behavior looks ready for simulation feedback. | Layer 3 property translation and checking look plausible. | Simulation traces should be observable enough to compare against requirements.,Strengthen the structural and typing surface for compiler-in-the-loop repair. | Name and modularize behavioral fragments so repair prompts can stay targeted.,ok
data/000022/000022.sysml,35.8,Mostly Structural,73.8,40.9,0.0,20.0,41.4,N/A,Layer 1 compiler and type-resolution signals look strong.,"Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000023/000023.sysml,8.5,Not Ready,30.8,0.0,0.0,2.5,4.4,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000024/000024.sysml,55.1,Behavior-Partially Ready,57.0,64.7,42.3,72.5,32.6,90.0%,Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000025/000025.sysml,49.4,Mostly Structural,52.8,63.8,38.2,53.5,27.2,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000026/000026.sysml,8.9,Not Ready,32.2,0.0,0.0,2.5,4.5,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000027/000027.sysml,56.1,Behavior-Partially Ready,79.4,53.8,55.2,27.0,49.8,100.0%,Layer 1 compiler and type-resolution signals look strong.,"Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000028/000028.sysml,62.8,Behavior-Partially Ready,52.9,56.5,71.7,83.0,50.6,100.0%,Layer 3 property translation and checking look plausible. | Simulation traces should be observable enough to compare against requirements.,Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Name and modularize behavioral fragments so repair prompts can stay targeted.,ok
data/000029/000029.sysml,71.0,Simulation-Ready,67.1,80.0,62.1,98.0,40.2,100.0%,Layer 2 executable behavior looks ready for simulation feedback. | Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000030/000030.sysml,10.5,Not Ready,30.8,0.0,0.0,2.5,24.4,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000031/000031.sysml,47.8,Mostly Structural,43.8,44.5,53.4,50.0,48.9,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000032/000032.sysml,75.1,Simulation-Ready,78.6,66.3,73.3,96.0,62.0,100.0%,Layer 1 compiler and type-resolution signals look strong. | Layer 3 property translation and checking look plausible. | Simulation traces should be observable enough to compare against requirements.,Add richer executable behavior for the simulation layer. | Name and modularize behavioral fragments so repair prompts can stay targeted.,ok
data/000033/000033.sysml,47.3,Mostly Structural,43.8,42.6,53.4,50.0,48.8,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000034/000034.sysml,75.1,Simulation-Ready,78.6,66.3,73.3,96.0,62.0,100.0%,Layer 1 compiler and type-resolution signals look strong. | Layer 3 property translation and checking look plausible. | Simulation traces should be observable enough to compare against requirements.,Add richer executable behavior for the simulation layer. | Name and modularize behavioral fragments so repair prompts can stay targeted.,ok
data/000035/000035.sysml,43.5,Mostly Structural,91.1,48.0,0.0,25.0,49.5,N/A,Layer 1 compiler and type-resolution signals look strong.,"Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000036/000036.sysml,11.1,Not Ready,37.9,0.0,0.0,0.0,16.3,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000037/000037.sysml,10.4,Not Ready,35.1,0.0,0.0,0.0,16.1,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000038/000038.sysml,9.3,Not Ready,31.4,0.0,0.0,5.0,6.8,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000039/000039.sysml,8.9,Not Ready,29.7,0.0,0.0,2.5,10.6,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000040/000040.sysml,9.8,Not Ready,32.6,0.0,0.0,2.5,12.8,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000041/000041.sysml,8.1,Not Ready,29.7,0.0,0.0,2.5,2.6,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000042/000042.sysml,8.1,Not Ready,29.7,0.0,0.0,2.5,2.6,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000043/000043.sysml,8.1,Not Ready,29.7,0.0,0.0,2.5,2.6,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000044/000044.sysml,13.4,Not Ready,43.2,0.0,0.0,10.0,10.9,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000045/000045.sysml,9.7,Not Ready,28.3,0.0,0.0,2.5,22.5,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000046/000046.sysml,11.8,Not Ready,36.8,0.0,0.0,5.0,19.0,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000047/000047.sysml,51.0,Mostly Structural,45.3,53.3,55.2,53.5,45.4,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000048/000048.sysml,58.7,Behavior-Partially Ready,71.3,63.8,42.5,66.0,44.1,100.0%,Layer 1 compiler and type-resolution signals look strong.,"Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000049/000049.sysml,61.1,Behavior-Partially Ready,35.4,78.7,68.0,72.4,47.7,99.5%,Layer 2 executable behavior looks ready for simulation feedback. | Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000050/000050.sysml,12.5,Not Ready,38.8,0.0,0.0,10.0,12.8,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000051/000051.sysml,64.9,Behavior-Partially Ready,50.8,71.3,66.9,81.5,54.5,100.0%,Layer 2 executable behavior looks ready for simulation feedback. | Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000052/000052.sysml,8.2,Not Ready,29.4,0.0,0.0,2.5,4.3,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000053/000053.sysml,29.1,Not Ready,38.3,28.4,31.0,17.5,20.1,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000054/000054.sysml,17.6,Not Ready,42.3,15.3,0.0,11.0,15.8,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000055/000055.sysml,11.4,Not Ready,39.4,0.0,0.0,2.5,12.0,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000056/000056.sysml,13.6,Not Ready,39.1,0.0,0.0,12.5,19.0,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000057/000057.sysml,60.0,Behavior-Partially Ready,48.6,67.5,61.1,70.0,52.6,100.0%,Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000058/000058.sysml,54.2,Mostly Structural,58.7,56.6,55.2,46.0,46.4,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000059/000059.sysml,57.3,Behavior-Partially Ready,42.5,64.8,55.8,87.3,34.5,99.2%,Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000060/000060.sysml,53.1,Mostly Structural,28.3,62.3,67.4,59.3,47.1,99.2%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000061/000061.sysml,50.2,Mostly Structural,41.3,63.8,48.8,53.5,37.1,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000062/000062.sysml,7.7,Not Ready,28.3,0.0,0.0,2.5,2.5,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000063/000063.sysml,70.0,Simulation-Ready,63.3,76.3,69.0,84.0,52.9,100.0%,Layer 2 executable behavior looks ready for simulation feedback. | Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000064/000064.sysml,12.3,Not Ready,45.1,0.0,0.0,0.0,10.0,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000065/000065.sysml,10.6,Not Ready,37.6,0.0,0.0,2.5,8.6,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000066/000066.sysml,59.9,Behavior-Partially Ready,57.7,67.5,50.4,82.5,35.8,100.0%,Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000067/000067.sysml,8.9,Not Ready,30.8,0.0,0.0,2.5,8.7,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000068/000068.sysml,10.5,Not Ready,36.9,0.0,0.0,5.0,5.5,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000069/000069.sysml,7.5,Not Ready,26.9,0.0,0.0,2.5,4.4,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000070/000070.sysml,18.7,Not Ready,42.9,19.4,0.0,14.5,9.5,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000071/000071.sysml,38.6,Mostly Structural,44.5,37.5,35.6,34.0,41.6,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000072/000072.sysml,14.4,Not Ready,28.3,15.5,0.0,12.5,15.8,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000073/000073.sysml,8.9,Not Ready,32.2,0.0,0.0,2.5,4.5,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000074/000074.sysml,56.0,Behavior-Partially Ready,36.8,88.3,59.5,35.0,45.8,N/A,Layer 2 executable behavior looks ready for simulation feedback.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000075/000075.sysml,9.9,Not Ready,30.6,0.0,0.0,2.5,18.7,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000076/000076.sysml,39.4,Mostly Structural,37.9,53.8,40.3,29.5,19.9,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000077/000077.sysml,12.3,Not Ready,38.8,0.0,0.0,10.0,10.8,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000078/000078.sysml,9.4,Not Ready,31.9,0.0,0.0,2.5,10.3,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
